task_id,single_pass,pipe_pass,spec,code,collapse
HumanEval/10,True,False,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Test if a given string is a palindrome.

INPUT:
- `string`: A string to be tested for palindrome properties.

OUTPUT:
- `bool`: True if the string is a palindrome, False otherwise.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `is_palindrome('')` returns `True`.
- **Single Element**: `is_palindrome('a')` returns `True`.
- **Boundary Values**: `is_palindrome('a')` and `is_palindrome('aa')` both return `True`.","def is_palindrome(string):
    """"""
    Test if a given string is a palindrome.

    :param string: A string to be tested for palindrome properties.
    :return: True if the string is a palindrome, False otherwise.
    """"""
    # An empty string or a single character string is a palindrome
    if len(string) <= 1:
        return True
    
    # Compare characters from the start and end moving towards the center
    left = 0
    right = len(string) - 1
    while left < right:
        if string[left] != string[right]:
            return False
        left += 1
        right -= 1
    
    return True",True
HumanEval/11,True,False,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Perform binary XOR operation on two binary strings and return the result as a binary string.

INPUT:
- `a`: A string consisting only of '1's and '0's.
- `b`: A string consisting only of '1's and '0's.

OUTPUT:
- A string representing the result of the binary XOR operation on `a` and `b`.

CONSTRAINTS:
- The lengths of `a` and `b` must be equal.
- Both `a` and `b` must consist only of '1's and '0's.

EXAMPLES:


EDGE CASES:
- **Empty Input**: If both `a` and `b` are empty strings, the function should return an empty string.
- **Single Element**: If either `a` or `b` is a single character ('0' or '1'), the function should return the same character.
- **Boundary Values**: For example, if `a` is '111' and `b` is '000', the result should be '111'.","def binary_xor(a: str, b: str) -> str:
    # Check if both inputs are empty strings
    if not a and not b:
        return """"
    
    # Check if both inputs have the same length
    if len(a) != len(b):
        raise ValueError(""Input strings must be of equal length."")
    
    # Initialize the result string
    result = """"
    
    # Perform XOR operation bit by bit
    for bit_a, bit_b in zip(a, b):
        # XOR operation: '1' if bits are different, '0' if they are the same
        xor_result = '1' if bit_a != bit_b else '0'
        result += xor_result
    
    return result",True
HumanEval/12,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Return the longest string from a list of strings, returning the first one in case of ties, and returning `None` if the list is empty.

INPUT:
- `strings`: A list of strings.

OUTPUT:
- A string representing the longest string in the list, or `None` if the list is empty.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `longest([])` returns `None`.
- **Single Element**: `longest(['x'])` returns `'x'`.
- **Boundary Values**: The function handles strings of different lengths correctly, returning the longest one.","def longest(strings):
    if not strings:
        return None
    
    longest_string = max(strings, key=len)
    return longest_string",False
HumanEval/13,True,False,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Return the greatest common divisor (GCD) of two integers.

INPUT:
- `a`: an integer representing the first number.
- `b`: an integer representing the second number.

OUTPUT:
- An integer representing the greatest common divisor of `a` and `b`.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: The function should handle cases where either `a` or `b` is zero. In such cases, the GCD is defined as the absolute value of the non-zero number.
- **Single Element**: If one of the numbers is zero, the GCD is the absolute value of the other number.
- **Boundary Values**: The function should handle very large integers and edge cases where the numbers are close to each other.","def gcd(a, b):
    # Handle the case where either a or b is zero
    if a == 0:
        return abs(b)
    if b == 0:
        return abs(a)
    
    # Use the Euclidean algorithm to find the GCD
    while b != 0:
        a, b = b, a % b
    
    return a",True
HumanEval/14,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Return a list of all prefixes from the shortest to the longest of the input string.

INPUT:
- `string`: A string for which all prefixes are to be generated.

OUTPUT:
- A list of strings, where each string is a prefix of the input string, ordered from shortest to longest.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `all_prefixes('')` should return an empty list `[]`.
- **Single Element**: `all_prefixes('x')` should return `['x']`.
- **Boundary Values**: For any string, the first character should be included in the list of prefixes.","def all_prefixes(string):
    """"""
    Return a list of all prefixes from the shortest to the longest of the input string.

    :param string: A string for which all prefixes are to be generated.
    :return: A list of strings, where each string is a prefix of the input string, ordered from shortest to longest.
    """"""
    if not string:
        return []
    
    prefixes = []
    for i in range(1, len(string) + 1):
        prefixes.append(string[:i])
    
    return prefixes

# Example usage:
print(all_prefixes(''))  # Output: []
print(all_prefixes('x'))  # Output: ['x']
print(all_prefixes('hello'))  # Output: ['h', 'he', 'hel', 'hell', 'hello']",False
HumanEval/15,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Return a string containing space-delimited numbers starting from 0 up to n inclusive.

INPUT:
- `n`: an integer representing the upper limit of the sequence.

OUTPUT:
- A string containing space-delimited numbers from 0 to n.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `string_sequence(0)` returns `'0'`.
- **Single Element**: `string_sequence(1)` returns `'0 1'`.
- **Boundary Values**: `string_sequence(10)` returns `'0 1 2 3 4 5 6 7 8 9 10'`.","def string_sequence(n):
    if n < 0:
        return """"
    elif n == 0:
        return ""0""
    else:
        return "" "".join(str(i) for i in range(n + 1))",False
HumanEval/16,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Given a string, determine the number of unique characters, ignoring case sensitivity.

INPUT:
- `string`: A string of characters.

OUTPUT:
- An integer representing the number of distinct characters in the string, case-insensitively.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `count_distinct_characters('')` should return `0`.
- **Single Element**: `count_distinct_characters('a')` should return `1`.
- **Boundary Values**: `count_distinct_characters('AaBbCc')` should return `3`.","def count_distinct_characters(string):
    # Convert the string to lowercase to ensure case insensitivity
    lower_string = string.lower()
    
    # Use a set to store unique characters
    unique_chars = set(lower_string)
    
    # Return the number of unique characters
    return len(unique_chars)

# Test cases
print(count_distinct_characters(''))  # Output: 0
print(count_distinct_characters('a'))  # Output: 1
print(count_distinct_characters('AaBbCc'))  # Output: 3",False
HumanEval/17,True,False,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Parse a string representing musical notes into a list of integers indicating the number of beats each note lasts.

INPUT:
- `music_string`: A string containing musical notes in a special ASCII format.

OUTPUT:
- A list of integers where each integer represents the number of beats a corresponding note lasts.

CONSTRAINTS:
- The input string will only contain the characters 'o', 'o|', and '.|'.
- The input string may be empty.

EXAMPLES:


EDGE CASES:
- **Empty Input**: `parse_music('')` should return an empty list `[]`.
- **Single Element**: `parse_music('o')` should return `[4]`.
- **Boundary Values**: The function should handle strings with varying lengths and compositions of notes.","def parse_music(music_string):
    # Split the input string by '|' to separate different notes
    notes = music_string.split('|')
    
    # Initialize an empty list to store the number of beats for each note
    beats = []
    
    # Iterate over each note in the split list
    for note in notes:
        # Remove any leading or trailing whitespace from the note
        note = note.strip()
        
        # Determine the number of beats based on the note character
        if note == 'o':
            beats.append(4)
        elif note == 'o|':
            beats.append(2)
        elif note == '.|':
            beats.append(1)
        else:
            # Handle unexpected characters by raising an error
            raise ValueError(f""Unexpected character '{note}' in input string."")
    
    return beats",True
HumanEval/18,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Find how many times a given substring can be found in the original string, including overlapping cases.

INPUT:
- `string`: A string in which to search for the substring.
- `substring`: The substring to search for within the original string.

OUTPUT:
- An integer representing the number of times the substring can be found in the original string, including overlaps.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `how_many_times('', 'a')` should return `0`.
- **Single Element**: `how_many_times('a', 'a')` should return `1`.
- **Boundary Values**: `how_many_times('abc', 'd')` should return `0`.","def how_many_times(string, substring):
    if not string or not substring:
        return 0
    
    count = 0
    start = 0
    
    while start <= len(string) - len(substring):
        if string[start:start + len(substring)] == substring:
            count += 1
        start += 1
    
    return count",False
HumanEval/19,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Sorts a space-delimited string of numberals from 'zero' to 'nine' into ascending order.

INPUT:
- `numbers`: A string containing space-delimited numberals from 'zero' to 'nine'.

OUTPUT:
- A string with the numberals sorted from smallest to largest.

CONSTRAINTS:
- The input string contains only valid numberals from 'zero' to 'nine'.
- The input string may contain duplicates.
- The input string may be empty.

EXAMPLES:


EDGE CASES:
- **Empty Input**: 
  - `sort_numbers('')` returns an empty string.
- **Single Element**:
  - `sort_numbers('one')` returns `'one'`.
- **Boundary Values**:
  - `sort_numbers('zero')` returns `'zero'`.
  - `sort_numbers('nine')` returns `'nine'`.","def sort_numbers(numbers):
    # Create a dictionary to map numberals to their corresponding integer values
    numeral_to_value = {
        'zero': 0,
        'one': 1,
        'two': 2,
        'three': 3,
        'four': 4,
        'five': 5,
        'six': 6,
        'seven': 7,
        'eight': 8,
        'nine': 9
    }
    
    # Split the input string into a list of numberals
    num_list = numbers.split()
    
    # Sort the list based on the integer values of the numberals
    sorted_num_list = sorted(num_list, key=lambda x: numeral_to_value[x])
    
    # Join the sorted list back into a space-delimited string
    sorted_numbers = ' '.join(sorted_num_list)
    
    return sorted_numbers",False
HumanEval/20,True,False,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Select and return two numbers from the list that are closest to each other, returning them in ascending order.

INPUT:
- `numbers`: A list of floating-point numbers with a length of at least two.

OUTPUT:
- A tuple containing two floating-point numbers that are the closest to each other, in ascending order.

CONSTRAINTS:
- The list must contain at least two elements.
- The function should return the two closest numbers in ascending order.

EXAMPLES:


EDGE CASES:
- **Empty Input**: This case is not applicable since the function requires a list of at least two elements.
- **Single Element**: This case is not applicable since the function requires a list of at least two elements.
- **Boundary Values**: The function will handle any list of floating-point numbers, including very large or very small numbers, as long as there are at least two elements.","from typing import List, Tuple

def find_closest_pair(numbers: List[float]) -> Tuple[float, float]:
    if len(numbers) < 2:
        raise ValueError(""The list must contain at least two elements."")
    
    # Sort the list to make it easier to find the closest pair
    sorted_numbers = sorted(numbers)
    
    # Initialize variables to store the minimum difference and the closest pair
    min_diff = float('inf')
    closest_pair = (0.0, 0.0)
    
    # Iterate through the sorted list and find the pair with the smallest difference
    for i in range(len(sorted_numbers) - 1):
        diff = sorted_numbers[i + 1] - sorted_numbers[i]
        if diff < min_diff:
            min_diff = diff
            closest_pair = (sorted_numbers[i], sorted_numbers[i + 1])
    
    return closest_pair",True
HumanEval/21,True,False,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Given a list of numbers, apply a linear transformation to scale the smallest number to 0 and the largest to 1.

INPUT:
- `numbers`: A list of floats with at least two elements.

OUTPUT:
- A list of floats where the smallest number is scaled to 0 and the largest to 1.

CONSTRAINTS:
- The list must contain at least two elements.
- The function should handle floating-point numbers.

EXAMPLES:


EDGE CASES:
- **Empty Input**: This case is not applicable since the function requires at least two elements.
- **Single Element**: This case is not applicable since the function requires at least two elements.
- **Boundary Values**: The function should handle very large or very small numbers gracefully.","def scale_to_unit(numbers):
    if len(numbers) < 2:
        raise ValueError(""The list must contain at least two elements."")
    
    min_num = min(numbers)
    max_num = max(numbers)
    
    # Avoid division by zero if all numbers are the same
    if min_num == max_num:
        return [0.0] * len(numbers)
    
    scaled_numbers = [(x - min_num) / (max_num - min_num) for x in numbers]
    return scaled_numbers

# Example usage:
# print(scale_to_unit([1.0, 2.0, 3.0, 4.0, 5.0]))  # Output: [0.0, 0.25, 0.5, 0.75, 1.0]
# print(scale_to_unit([-10.0, 0.0, 10.0]))       # Output: [0.0, 0.5, 1.0]",True
HumanEval/22,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Filter a list of any Python values to include only integers.

INPUT:
- `values`: A list of any Python values (can be of any type).

OUTPUT:
- A list of integers extracted from the input list.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `filter_integers([])` returns an empty list.
- **Single Element**: `filter_integers([42])` returns `[42]`.
- **Boundary Values**: The function handles various types of integers, including negative numbers and zero.","def filter_integers(values):
    """"""
    Filter a list of any Python values to include only integers.

    :param values: A list of any Python values.
    :return: A list of integers extracted from the input list.
    """"""
    return [value for value in values if isinstance(value, int)]",False
HumanEval/23,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Return the length of the given string.

INPUT:
- `string`: A string whose length is to be determined.

OUTPUT:
- An integer representing the length of the input string.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `strlen('')` should return `0`.
- **Single Element**: `strlen('a')` should return `1`.
- **Boundary Values**: The function should handle strings of varying lengths, including very short and very long strings.","def strlen(string):
    """"""
    Return the length of the given string.

    :param string: A string whose length is to be determined.
    :return: An integer representing the length of the input string.
    """"""
    return len(string)",False
HumanEval/24,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Find the largest divisor of a given number `n` that is smaller than `n`.

INPUT:
- `n`: An integer representing the number for which to find the largest divisor.

OUTPUT:
- An integer representing the largest divisor of `n` that is smaller than `n`.

CONSTRAINTS:
- `n` must be a positive integer.

EXAMPLES:


EDGE CASES:
- **Empty Input**: The function should handle cases where `n` is less than or equal to 1 by returning 0, as there are no divisors smaller than `n`.
- **Single Element**: For `n = 1`, the largest divisor smaller than `n` is 0.
- **Boundary Values**: For `n = 2`, the largest divisor smaller than `n` is 1.","def largest_divisor(n):
    """"""
    Find the largest divisor of a given number n that is smaller than n.

    :param n: An integer representing the number for which to find the largest divisor.
    :return: An integer representing the largest divisor of n that is smaller than n.
    """"""
    if n <= 1:
        return 0
    for i in range(n - 1, 0, -1):
        if n % i == 0:
            return i
    return 1  # This line is technically unreachable due to the loop condition",False
HumanEval/25,True,False,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Return a list of prime factors of a given integer in ascending order, with each factor repeated according to its multiplicity.

INPUT:
- `n`: An integer for which the prime factors are to be found.

OUTPUT:
- A list of integers representing the prime factors of `n`.

CONSTRAINTS:
- The input `n` must be a positive integer greater than 1.
- The function should handle edge cases where `n` is a prime number.

EXAMPLES:


EDGE CASES:
- **Empty Input**: The function should raise an error or handle it gracefully if an empty input is provided.
- **Single Element**: If `n` is 1, the function should return an empty list since 1 has no prime factors.
- **Boundary Values**: The function should handle very small numbers like 2, 3, 4, etc., correctly.","def prime_factors(n):
    if n <= 1:
        raise ValueError(""Input must be a positive integer greater than 1."")
    
    factors = []
    # Check for number of 2s that divide n
    while n % 2 == 0:
        factors.append(2)
        n //= 2
    
    # n must be odd at this point, so we can skip one element (Note i = i +2)
    for i in range(3, int(n**0.5) + 1, 2):
        # While i divides n, append i and divide n
        while n % i == 0:
            factors.append(i)
            n //= i
    
    # This condition is to check if n is a prime number greater than 2
    if n > 2:
        factors.append(n)
    
    return factors

# Example usage:
print(prime_factors(8))  # Output: [2, 2, 2]
print(prime_factors(29)) # Output: [29]
print(prime_factors(1))  # Raises ValueError",True
HumanEval/26,False,False,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Remove duplicates from a list of integers while maintaining the original order of the remaining elements.

INPUT:
- `numbers`: A list of integers.

OUTPUT:
- A list of integers with duplicates removed, preserving the original order.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `remove_duplicates([])` returns `[]`.
- **Single Element**: `remove_duplicates([5])` returns `[5]`.
- **Boundary Values**: `remove_duplicates([1, 1, 1, 1, 1])` returns `[1]`.","def remove_duplicates(numbers):
    seen = set()
    result = []
    for number in numbers:
        if number not in seen:
            seen.add(number)
            result.append(number)
    return result",False
HumanEval/27,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Flip lowercase characters to uppercase and uppercase to lowercase in a given string.

INPUT:
- `string`: A string of characters.

OUTPUT:
- A new string with the case of each character flipped.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `flip_case('')` should return an empty string.
- **Single Element**: `flip_case('a')` should return `'A'`.
- **Boundary Values**: `flip_case('123')` should return `'123'`, as digits are not affected by case flipping.","def flip_case(string):
    """"""
    Flip lowercase characters to uppercase and uppercase to lowercase in a given string.

    :param string: A string of characters.
    :return: A new string with the case of each character flipped.
    """"""
    # Use a list comprehension to flip the case of each character
    flipped_string = ''.join(char.swapcase() for char in string)
    return flipped_string

# Example usage:
print(flip_case('Hello, World!'))  # Output: hELLO, wORLD!
print(flip_case('Python 3.8'))      # Output: pYTHON 3.8
print(flip_case(''))                # Output: ''
print(flip_case('a'))                # Output: 'A'
print(flip_case('123'))              # Output: '123'",False
HumanEval/28,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Concatenates a list of strings into a single string.

INPUT:
- `strings`: A list of strings to be concatenated.

OUTPUT:
- A single string containing all elements from the input list concatenated together.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `concatenate([])` returns an empty string.
- **Single Element**: `concatenate(['hello'])` returns `'hello'`.
- **Boundary Values**: The function handles any list of strings, including those with multiple elements.","def concatenate(strings):
    """"""
    Concatenates a list of strings into a single string.

    :param strings: A list of strings to be concatenated.
    :return: A single string containing all elements from the input list concatenated together.
    """"""
    return ''.join(strings)",False
